#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,ID
1,"NITSIAKOS, TH., A.V.E.E",,[redacted],[redacted],45500,Ioannina,Ioannina,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],http://www.nitsiakos.gr/,094441550,Local Government Tax Registration Number,True,2015,Poultry slaughtering and processing,1012,NACE REVISION 2,M,1995,36,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,992,Imports & Exports,Corporation,HQ,107719792,122220492,107719792,EUR,Actual,20.8595142,39.6281668,2,0839640644
2,ALPHA BANK S.A.,ALPHA BANK,[redacted],[redacted],10252,Athens,Kentrikos Tomeas Athinon,,Greece,ENG,[redacted],[redacted],[redacted],[redacted],https://www.alpha.gr/,996807331,Local Government Tax Registration Number,True,6021,National commercial banks,6419,NACE REVISION 2,M,2021,116,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,8923,None or Not Available,Corporation,HQ,1066590000,1207150563,1066590000,EUR,Actual,23.7361497,37.9753357,1,0636210343
3,"ETHNIKI, THE, HELLENIC GENERAL INSURANCE CO. S.A.",,[redacted],[redacted],11745,Athina,Kentrikos Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],https://www.ethniki-asfalistiki.gr/,094003849,Local Government Tax Registration Number,True,6399,"Insurance carriers, nec",6512,NACE REVISION 2,M,1891,5,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,893,None or Not Available,Corporation,HQ,553313000,626231354,553313000,EUR,Actual,23.7198277,37.9589384,3,0839562724
4,ACCENTURE SINGLE MEMBER S.A. ORGANIZATION INFORMATION TECHNOLOGY & BUSINESS DEVELOPMENT,ACCENTURE,[redacted],[redacted],14564,Kifisia,Voreios Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],https://www.accenture.com/gr-en/about/company/greece?c=acn_glb_locationmarketiyext_11220474&n=otc...,094446009,Local Government Tax Registration Number,True,8742,Management consulting services,7022,NACE REVISION 2,M,1992,1195,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,861,Exports,Corporation,HQ,98988777,116924850,98988777,EUR,Actual,23.8024209,38.0997778,3,0610566089
5,HELLENIC CABLES S.A. HELLENIC CABLE INDUSTRY SINGLE MEMBER S.A.,ELLINIKA KALODIA S.A.,[redacted],[redacted],11527,Athina,Kentrikos Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],,800350002,Local Government Tax Registration Number,True,3643,Current-carrying wiring services,2732,NACE REVISION 2,M,2011,38,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,1126,Imports & Exports,Corporation,HQ,524530367,593655601,524530367,EUR,Actual,23.760695400000003,37.9848129,4,0614393086
6,REGENCY ENTERTAINMENT PSYCHAGOGIKI & TOURISTIKI SINGLE MEMBER S.A.,REGENCY ENTERTAINMENT,[redacted],[redacted],15124,Amarousio,Voreios Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],http://www.regency.gr/,099363334,Local Government Tax Registration Number,True,7999,"Amusement and recreation, nec",9200,NACE REVISION 2,M,2001,7,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,1878,None or Not Available,Corporation,HQ,24723000,29238186,24723000,EUR,Actual,23.8046960,38.0475280,3,0611026766
7,METRO S.A.,,[redacted],[redacted],14451,Metamorfosi,Voreios Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],,094062259,Local Government Tax Registration Number,True,5411,Grocery stores,4711,NACE REVISION 2,M,1976,4,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,11143,Imports & Exports,Corporation,HQ,1364903607,1544777429,1364903607,EUR,Actual,23.7690101,38.0754184,2,0534189637
8,"NATIONAL CENTER FOR SCIENTIFIC RESEARCH ""DEMOKRITOS""",,[redacted],[redacted],15341,Agia Paraskevi,Voreios Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],,090085651,Local Government Tax Registration Number,True,8731,Commercial physical research,7219,NACE REVISION 2,M,1988,0,[redacted],Chairman,[redacted],[redacted],[redacted],,Actual,Actual,1000,1000,None or Not Available,Government body,SingleLocation,155772,155268,155772,EUR,Modeled,23.8205451,38.0126296,1,0610789299
9,KSM HUMAN RESOURCES HELLAS S.A.,KSM HR HELLAS S.A.,[redacted],[redacted],15772,Nikiti,Chalkidiki,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],,999843937,Local Government Tax Registration Number,True,7363,Help supply services,7820,NACE REVISION 2,M,2002,0,[redacted],Chairman,[redacted],[redacted],[redacted],,Actual,Actual,1650,1650,None or Not Available,Corporation,SingleLocation,20265444,22936126,20265444,EUR,Actual,23.865622,40.170136,1,0795082027
10,ELBISCO INDUSTRIAL & COMMERCIAL FOOD S.A.,ELBISCO S.A.,[redacted],[redacted],19009,Rafina,Anatoliki Attiki,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],http://www.elbisco.gr,094207902,Local Government Tax Registration Number,True,2052,Cookies and crackers,1072,NACE REVISION 2,M,1987,5,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,1031,Imports & Exports,Corporation,HQ,97589000,110449766,97589000,EUR,Actual,23.8960090,38.0253643,3,0534198216
11,ATHENS WATER SUPPLY & SEWERAGE COMPANY S.A.,EYDAP,[redacted],[redacted],11146,Athina,Kentrikos Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],https://www.eydap.gr/TheCompany/CompanyProfile/,094079101,Local Government Tax Registration Number,True,4941,Water supply,3600,NACE REVISION 2,M,1980,203,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,2326,None or Not Available,Corporation,HQ,360753000,408294834,360753000,EUR,Actual,23.7531098,38.0283668,3,0839637757
12,PLAISIO COMPUTERS S.A.,,[redacted],[redacted],19018,Elefsina,Dytiki Attiki,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],http://www.plaisio.gr/,094222211,Local Government Tax Registration Number,True,5734,Computer and software stores,4741,NACE REVISION 2,M,1988,29,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,1491,Import/Export/Agent,Corporation,HQ,427905000,484296460,427905000,EUR,Actual,23.5232407,38.0838671,2,0839559029
13,PALIRRIA SOULIOTIS S.A.,PALIRRIA S.A.,[redacted],[redacted],34400,Psachna,Evoia,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],,094221122,Local Government Tax Registration Number,True,2099,"Food preparations, nec",1085,NACE REVISION 2,M,1991,6,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,1230,Imports & Exports,Corporation,HQ,53319947,60346716,53319947,EUR,Actual,23.642789,38.57794,1,0839642600
14,TERNA S.A.,TERNA SA,[redacted],[redacted],11526,Athina,Kentrikos Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],http://www.terna.gr/,999503170,Local Government Tax Registration Number,True,1611,Highway and street construction,4211,NACE REVISION 2,M,2004,81,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,2046,Exports,Corporation,HQ,427664000,484023700,427664000,EUR,Actual,23.76859835,37.98931125,4,0663651498
15,EUROBANK S.A.,EUROBANK,[redacted],[redacted],10557,Athina,Kentrikos Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],https://www.eurobank.gr/,996866969,Local Government Tax Registration Number,True,6021,National commercial banks,6419,NACE REVISION 2,M,2020,79,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,11390,None or Not Available,Corporation,HQ,1451000000,1642220035,1451000000,EUR,Actual,23.7348658,37.9748432,4,0636125752
16,INTRACOM S.A. TELECOM SOLUTIONS,INTRACOM TELECOM,[redacted],[redacted],19002,Koropi,Anatoliki Attiki,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],http://www.intracom-telecom.com/,094157119,Local Government Tax Registration Number,True,7371,Custom computer programming services,6201,NACE REVISION 2,M,1994,15,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,1827,Imports & Exports,Corporation,HQ,121904913,137970152,121904913,EUR,Actual,23.8647998,37.9471850,2,0610974190
17,JUMBO S.A.,JUMBO,[redacted],[redacted],18346,Moschato,Notios Tomeas Athinon,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],http://www.e-jumbo.gr/,094173365,Local Government Tax Registration Number,True,5945,"Hobby, toy, and game shops",4765,NACE REVISION 2,M,1986,65,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,5732,Imports & Exports,Corporation,HQ,645075286,730086533,645075286,EUR,Actual,23.6930981,37.9610654,3,0839586475
18,INTRALOT S.A.,,[redacted],[redacted],19002,Paiania,Anatoliki Attiki,,Greece,GRL,[redacted],[redacted],[redacted],[redacted],https://www.intralot.com/,094360110,Local Government Tax Registration Number,True,7371,Custom computer programming services,6201,NACE REVISION 2,M,1992,40,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,1840,None or Not Available,Corporation,HQ,43819000,49593687,43819000,EUR,Actual,23.8523053,37.954012,1,0839664784
