#,ID,Name,Straße und Nummer,Postleitzahl,Stadt,Amtsgericht,Registerart,Registernummer,Rechtsform,Gründungsdatum,Stammkapital,Unternehmensgegenstand,Branche (Code),Branche (Titel),Geschäftsführung 1,Geschäftsführung 2,Geschäftsführung 3,Implisense Profil
1,DEIINLK6WP84,Dünendeck GmbH,Fehmarnsund 70,23769,Fehmarn,Lübeck,HRB,24610 HL,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €",Gegenstand des Unternehmens ist der Betrieb einer Gaststätte,I56.10,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. Ä.",Matthias Reisewitz,,,https://implisen.se/DEIINLK6WP84
2,DERZ6IWKTI36,WP Magolsheim WEA 3 GmbH & Co. KG,Unter den Linden 4,72762,Reutlingen,Stuttgart,HRA,741046,Kommanditgesellschaft,01.02.2024,,,,,,,,https://implisen.se/DERZ6IWKTI36
3,DEOJ0R0AQE47,Friedel Schültke Bad & Heizung GmbH,Bourhahn 17,59846,Sundern,Arnsberg,HRB,15289,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €",Bau von Heizungs- und Sanitäranlagen sowie deren Reparatur und Wartung und Handel mit den hierzu ...,F43.22,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation",Marcel Heinze,,,https://implisen.se/DEOJ0R0AQE47
4,DE8UNQRWJW95,LensVibe UG (haftungsbeschränkt),Innstraße 69 b,94032,Passau,Passau,HRB,12437,Gesellschaft mit beschränkter Haftung,01.02.2024,"5.000,00 €",Die Entwicklung und der Vertrieb von Apps und anderen Softwares.,J62.01,Programmierungstätigkeiten,Tobias Susetzky,,,https://implisen.se/DE8UNQRWJW95
5,DENF3WWPPK88,RenerGreen GmbH,Hubertusstr. 35,80639,München,München,HRB,291185,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €","Kauf, Bau, Betrieb und Verkauf von Anlagen zur Energiegewinnung aus erneuerbaren Energiequellen, ...",D35.11,Elektrizitätserzeugung,Thomas Kröpfl,,,https://implisen.se/DENF3WWPPK88
6,DEPDYUP37S70,Husemann & Fast Elektrotechnik GmbH,Pivitsheider Straße 52,32832,Augustdorf,Lemgo,HRB,11194,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €","Die Planung, Errichtung und Inbetriebnahme von Energieerzeugungsanlagen, die intelligente Vernetz...",F43.21,Elektroinstallation,Nils Husemann,Daniel Fast,,https://implisen.se/DEPDYUP37S70
7,DEG5HWQS2660,Pfandkredit Schumachers Münster GmbH,Im Benrader Feld 13,47804,Krefeld,Krefeld,HRB,20265,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €",Der Betrieb eines Pfandhauses/Leihhauses/Pfandkreditunternehmens mit der Vergabe von Darlehen nac...,K64.92,Spezialkreditinstitute,Marcel Peter Schumachers,,,https://implisen.se/DEG5HWQS2660
8,DEA9M019GD17,Rafal Suliga GmbH,Hauptstraße 45,89284,Pfaffenhofen a. d. Roth,Memmingen,HRB,20957,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €",Hausmeisterdienstleistungen aller Art.,N81.10,Hausmeisterdienste,Rafal Maciej Suliga,,,https://implisen.se/DEA9M019GD17
9,DE5T9KLRG294,Ohletz GmbH,Fackelstraße 41,47475,Kamp-Lintfort,Kleve,HRB,19473,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €",Installateur- und Heizungsbauerhandwerk sowie alle artverwandten Geschäfte,F43.22,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation",Stephan Ohletz,,,https://implisen.se/DE5T9KLRG294
10,DEPHV2JKVJ24,BKB GmbH,Spandauer Straße 112,14612,Falkensee,Potsdam,HRB,39083,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €",Der Handel und Verkauf von Baustoffen sowie der Handel und Verkauf von Kaminen sowie Kaminöfen; d...,G46.73,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik",Frank Mauer,,,https://implisen.se/DEPHV2JKVJ24
11,DEOLJHWHXI19,Glogger Architekten Partnerschaft mbB,Blumenstraße 2,86483,Balzhausen,Memmingen,PR,120,Partnerschaft,01.02.2024,,"Erbringung von freiberuflichen Leistungen aus den Bereichen Architektur, Innenarchitektur und Sta...",M71.11,Architekturbüros,,,,https://implisen.se/DEOLJHWHXI19
12,DE7W9UGTSV54,Jasmin Amraya e.K.,Clemensstr. 40,80803,München,München,HRA,119051,Einzelkaufmann / Einzelkauffrau,01.02.2024,,,,,,,,https://implisen.se/DE7W9UGTSV54
13,DEQVW2BH6X26,Koski Logistik GmbH,Fabrikstraße 7,16761,Hennigsdorf,Neuruppin,HRB,14535,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €","Kleintransporte bis 3,5 Tonnen",H49.41,Güterbeförderung im Straßenverkehr,Jakub Jacek Koski,,,https://implisen.se/DEQVW2BH6X26
14,DEC28WIY1016,L & S Nord Immobilien und Vermögensverwaltung GmbH & Co. KG,Dorfstraße 6,24361,Holzbunge,Kiel,HRA,12241 KI,Kommanditgesellschaft,01.02.2024,,,,,,,,https://implisen.se/DEC28WIY1016
15,DEUJSWYXK537,Eska Grundbesitz GmbH & Co. KG,Eichenstr. 4,29348,Eschede,Lüneburg,HRA,204218,Kommanditgesellschaft,01.02.2024,,,,,,,,https://implisen.se/DEUJSWYXK537
16,DEKS1AUGZ211,Triticum GmbH & Co. KG,Widenmayerstraße 34,80538,München,München,HRA,119058,Kommanditgesellschaft,01.02.2024,,,,,,,,https://implisen.se/DEKS1AUGZ211
17,DERBI0BMZW76,Deisterblick Management GmbH,Südfeldstraße 25,30989,Gehrden,Hannover,HRB,226870,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.500,00 €","Der Erwerb, das Halten und Verwalten von Beteiligungen sowie die Übernahme der persönlichen Haftu...",K64.20,Beteiligungsgesellschaften,Lasse Laging,Cord Narten,Christoph Heinrich Möller,https://implisen.se/DERBI0BMZW76
18,DEDSQLNCJJ27,Schulz-Knop & Fockenberg oHG,Kampstr. 2,45966,Gladbeck,Gelsenkirchen,HRA,6273,Offene Handelsgesellschaft,01.02.2024,,,,,,,,https://implisen.se/DEDSQLNCJJ27
19,DE5Y8BG5PD28,Die Stahlbrüder GmbH,Sarlachen 11,97475,Zeil am Main,Bamberg,HRB,11556,Gesellschaft mit beschränkter Haftung,01.02.2024,"25.000,00 €",Ein Metallbaubetrieb.,C25.11,Herstellung von Metallkonstruktionen,Christof Studniarek,Yannik Heim,,https://implisen.se/DE5Y8BG5PD28
20,DE7ARATPQN83,SIJJ Creations UG (haftungsbeschränkt),Am Jausenteich 43,72458,Albstadt,Stuttgart,HRB,793747,Gesellschaft mit beschränkter Haftung,01.02.2024,"1.000,00 €","Der Einzelhandel mit Bekleidung, Schmuck, Accessoires, Haus- und Gartenbedarf, Tiefbedarf, Bücher...",C14.1,Herstellung von Bekleidung (ohne Pelzbekleidung),Isabelle Cathrin Braun,,,https://implisen.se/DE7ARATPQN83
