#,Id,Name,Latitude,Longitude,Address,ZipCode,City,Country,OpeningHours,Phone,Fax,Email,AccessType
1,00006210-0037-4444-8888-acdc00006210,BEDUCKER,"48,55568314","10,8508482",[redacted],86405,Meitingen,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
2,00016899-3247-4444-8888-acdc00000007,BFT,"49,66097641","10,91861725",[redacted],91341,Röttenbach,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
3,00041414-208c-4444-8888-acdc00000414,SELGROS,"51,16918945","6,948949814",[redacted],40724,Hilden,DEU,Monday [07:00 - 19:00];Tuesday [07:00 - 19:00];Wednesday [07:00 - 19:00];Thursday [07:00 - 19:00]...,[redacted],[redacted],[redacted],Public
4,00041450-0002-4444-8888-acdc00000002,NEEBTANK,"48,12189484","11,45139217",[redacted],82166,Gräfelfing,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
5,00047369-0001-4444-8888-acdc00000001,TANKSTELLE FRANZ DECHANTSREITER,"48,24147034","12,52081966",[redacted],84453,Mühldorf,DEU,Monday [07:00 - 19:00];Tuesday [07:00 - 19:00];Wednesday [07:00 - 19:00];Thursday [07:00 - 19:00]...,[redacted],[redacted],[redacted],Public
6,00060001-d387-4444-8888-acdc00000001,TANKCENTER EUROPOINT,"48,02442169","7,586278915",[redacted],79206,Breisach,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
7,00060002-cb47-4444-8888-acdc00000001,SB,"47,52428436","10,26199532",[redacted],87527,Sonthofen,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
8,00060009-3adf-4444-8888-acdc00000001,TANK-KONTOR,"47,8632431","9,424034119",[redacted],88271,Wilhelmsdorf,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
9,00060011-0006-4444-8888-acdcffffffff,AVIA,"48,00108","9,82475",[redacted],88436,Eberhardzell,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
10,00060014-b0d9-4444-8888-acdc00000002,TANK-KONTOR,"47,82915878","9,651460648",[redacted],88255,Baienfurt,DEU,Sunday [00:00 - 00:00];Monday [00:00 - 00:00];Tuesday [00:00 - 00:00];Wednesday [00:00 - 00:00];T...,[redacted],[redacted],[redacted],Public
