#,Product Name,Product Url,Product Id,Total Reviews,Average Rating,Optimized,Category Url,Description,Product Users,Product Industries,Market Segment,User Satisfaction,G2 User Valuation
1,Shark CAD Pro,https://www.g2.com/products/shark-cad-pro/reviews,shark-cad-pro,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
2,Stratasys,https://www.g2.com/products/stratasys/reviews,stratasys,1,0,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
3,SURE Editor,https://www.g2.com/products/sure-editor/reviews,sure-editor,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
4,Syflex,https://www.g2.com/products/syflex/reviews,syflex,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
5,Threedium,https://www.g2.com/products/threedium/reviews,threedium,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
6,TilesView,https://www.g2.com/products/tilesview/reviews,tilesview,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
7,Trendspek,https://www.g2.com/products/trendspek/reviews,trendspek,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
8,Unleash live Modeling,https://www.g2.com/products/unleash-live-modeling/reviews,unleash-live-modeling,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
9,VIP3D,https://www.g2.com/products/vip3d/reviews,vip3d,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
10,ZeroLight Virtual Showroom,https://www.g2.com/products/zerolight-zerolight-virtual-showroom/reviews,zerolight-zerolight-virtual-showroom,,,FALSE,https://www.g2.com/categories/3d-modeling,,,,,,
11,Configurator 360,https://www.g2.com/products/configurator-360/reviews,configurator-360,11,4.3,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
12,Lattice,https://www.g2.com/products/lattice/reviews,lattice,25,4.4,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
13,CDS Visual,https://www.g2.com/products/cds-visual/reviews,cds-visual,4,4.6,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
14,Edson,https://www.g2.com/products/edson/reviews,edson,4,4.1,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
15,Mize,https://www.g2.com/products/mize/reviews,mize,4,4.3,TRUE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
16,3D ContentCentral,https://www.g2.com/products/3d-contentcentral/reviews,3d-contentcentral,5,4.1,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
17,eCATALOGsolutions,https://www.g2.com/products/ecatalogsolutions/reviews,ecatalogsolutions,4,4.9,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
18,Interactive SPares,https://www.g2.com/products/interactive-spares/reviews,interactive-spares,2,4.5,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
19,Cortona3D RapidCatalog,https://www.g2.com/products/cortona3d-rapidcatalog/reviews,cortona3d-rapidcatalog,1,4,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
20,Epitomy Publisher,https://www.g2.com/products/epitomy-publisher/reviews,epitomy-publisher,1,3.5,FALSE,https://www.g2.com/categories/3d-parts-catalog,,,,,,
