#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,UniqueID
1,"Nonghyup Bank Sejong City Hall Branch Co., Ltd.",,[redacted],[redacted],30033,Seongnam,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,3078512587,S. Korean State Commercial Registry Business Registration Number,False,6153,"Short-term business credit institutions, except agricultural",,,M,2016,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,18000,18000,None or Not Available,Corporation,SingleLocation,759646134,579610,581492,KRW,Modeled,127.1358319,37.440557,1,0806450116
2,"Seowon Distribution Co.,Ltd.",,[redacted],[redacted],46547,Busan,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,2948700310,S. Korean State Commercial Registry Business Registration Number,False,5331,Variety stores,,,M,2015,0,[redacted],President,[redacted],[redacted],[redacted],,Actual,Actual,3029,3029,None or Not Available,Corporation,SingleLocation,1456021000000,1217233556,1221187671,KRW,Actual,129.0081017,35.0969988,1,0800960199
3,"DAEGU DEPARTMENT STORE CO., LTD.",,[redacted],[redacted],41938,Daegu,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],http://www.debec.co.kr/,5018100026,S. Korean State Commercial Registry Business Registration Number,False,5311,Department stores,,,M,1969,5,[redacted],President,[redacted],[redacted],[redacted],,Actual,Modeled,171,3744,None or Not Available,Corporation,HQ,81794000000,68379784,68601911,KRW,Actual,128.6050255,35.8687346,1,0799087823
4,KOREA ELECTRICAL SAFETY CORPORATION,,[redacted],[redacted],55365,,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1398201278,S. Korean State Commercial Registry Business Registration Number,False,1795,Wrecking and demolition work,,,M,2011,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,2826,2826,None or Not Available,Corporation,SingleLocation,1263693960,941452,944510,KRW,Modeled,,,0,0799007586
5,Korea Electrical Safety Corporation Ulsan Branch,,[redacted],[redacted],44676,Ulsan,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,6108205939,S. Korean State Commercial Registry Business Registration Number,False,8111,Legal services,,,M,2013,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,2826,2826,None or Not Available,Corporation,SingleLocation,358067114,266760,267626,KRW,Modeled,130.8544004,37.4694874,1,0800503906
6,"Nonghyup Bank Gyeonggi Business Center Co., Ltd.",,[redacted],[redacted],16488,Suwon,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1358549266,S. Korean State Commercial Registry Business Registration Number,False,6035,Federal savings institutions,,,M,2016,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,18000,18000,None or Not Available,Corporation,SingleLocation,646644823,493390,494992,KRW,Modeled,127.0089472,37.259735,1,0806447404
7,"DOING CNS CO.,LTD",,[redacted],[redacted],13494,Seongnam,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1208114786,S. Korean State Commercial Registry Business Registration Number,False,7699,"Repair services, nec",,,M,1984,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,9234,9234,None or Not Available,Corporation,SingleLocation,294605000000,246289780,247089838,KRW,Actual,127.1358319,37.440557,1,0800308964
8,"PB PARTNERS CO., LTD.",,[redacted],[redacted],13220,Seongnam,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,4068164370,S. Korean State Commercial Registry Business Registration Number,False,7361,Employment agencies,,,M,2017,0,[redacted],President,[redacted],[redacted],[redacted],,Actual,Actual,5189,5189,None or Not Available,Corporation,SingleLocation,270994000000,226550984,227286922,KRW,Actual,127.1358319,37.440557,1,0806089021
9,NATIONAL PENSION CHUNCHEON AGENCY,,[redacted],[redacted],15036,,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,1408200148,S. Korean State Commercial Registry Business Registration Number,False,6399,"Insurance carriers, nec",,,M,2004,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,4000,4000,None or Not Available,Corporation,SingleLocation,1505955439056,1149044000,1152776605,KRW,Modeled,,,0,0801281808
10,NATIONAL PENSION CHUNCHEON AGENCY,,[redacted],[redacted],33465,,,,SouthKorea,TRA,[redacted],[redacted],[redacted],[redacted],,3138201274,S. Korean State Commercial Registry Business Registration Number,False,6399,"Insurance carriers, nec",,,M,2008,0,[redacted],President,[redacted],[redacted],[redacted],,Estimated,Estimated,4300,4300,None or Not Available,Corporation,SingleLocation,1595894444444,1235222300,1239234851,KRW,Modeled,,,0,0801283792
