#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,UniqueID
1,Raiffeisen-Lagerhaus Weinviertel Ost eGen,,[redacted],[redacted],2130,Mistelbach,Niederösterreich,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.lagerhaus-weinviertelmitte.at/,FN55259p,Austria Trade Register Number,False,5211,Lumber and other building materials,,,M,1920,19,[redacted],Chairman,[redacted],[redacted],[redacted],,Actual,Modeled,496,950,None or Not Available,Cooperative,HQ,189701017,214700766,189701017,EUR,Actual,16.560997800000003,48.5637998,4,0414170368
2,ManpowerGroup GmbH,,[redacted],[redacted],1020,Wien,Wien,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.manpower.at,FN152584p,Austria Trade Register Number,False,7363,Help supply services,,,M,1996,4204,[redacted],Managing Director,[redacted],[redacted],[redacted],,Estimated,Actual,0,1921,None or Not Available,Corporation,HQ,82684060,97784733,82684060,EUR,Actual,16.3977825,48.222362000000004,4,0414402524
3,FLSmidth GmbH,,[redacted],[redacted],7100,Neusiedl am See,Burgenland,,Austria,GER,[redacted],[redacted],[redacted],[redacted],http://www.flsmidth.com/en-US/Krebs,FN109750y,Austria Trade Register Number,False,3532,Mining machinery,,,M,1990,173,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Modeled,140,850,Imports & Exports,Corporation,HQ,55381455,65495826,55381455,EUR,Actual,16.82229405,47.95568305,4,0413051593
4,Zeppelin Österreich GmbH,,[redacted],[redacted],2401,Fischamend,Niederösterreich,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.zeppelin-cat.at,FN126414d,Austria Trade Register Number,False,5999,"Miscellaneous retail stores, nec",,,M,1926,944,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Modeled,262,791,Imports & Exports,Corporation,HQ,154688269,175073863,154688269,EUR,Actual,16.589274850000002,48.125757400000005,4,0412418785
5,Hypo Vorarlberg Bank AG,,[redacted],[redacted],6900,Bregenz,Vorarlberg,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.hypovbg.at,FN145586y,Austria Trade Register Number,False,6029,"Commercial banks, nec",,,M,1996,180,[redacted],Chairman,[redacted],[redacted],[redacted],,Actual,Modeled,737,842,None or Not Available,Corporation,HQ,257596000,291543289,257596000,EUR,Actual,9.7444136000000015,47.5033016,4,0414333875
6,itworks Personalservice & Beratung gemeinnützige GmbH,,[redacted],[redacted],1020,Wien,Wien,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.itworks.co.at,FN262966s,Austria Trade Register Number,False,7363,Help supply services,,,M,2005,33,[redacted],Managing Director,[redacted],[redacted],[redacted],,Estimated,Actual,0,796,None or Not Available,Corporation,HQ,33500536,39618772,33500536,EUR,Actual,16.3699065,48.221193400000004,4,0412372896
7,LTW Intralogistics GmbH,,[redacted],[redacted],6922,Wolfurt,Vorarlberg,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://ltw.at,FN69106b,Austria Trade Register Number,False,3535,Conveyors and conveying equipment,,,M,1981,87,[redacted],Managing Director,[redacted],[redacted],[redacted],Austrian German,Actual,Modeled,262,850,Imports & Exports,Corporation,HQ,106931576,129878237,106931576,EUR,Actual,9.7397588,47.482636600000006,4,0413585800
8,voestalpine Railway Systems GmbH,,[redacted],[redacted],8700,Leoben,Steiermark,,Austria,GER,[redacted],[redacted],[redacted],[redacted],http://www.voestalpine.com/railway-systems,FN126714w,Austria Trade Register Number,False,3743,Railroad equipment,,,M,1968,545,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Modeled,134,1508,None or Not Available,Corporation,HQ,70055925,85089366,70055925,EUR,Actual,15.0592717,47.379612400000006,4,0411358719
9,C. Swarovski Gesellschaft m.b.H.,Gipfelhütte Grubigstein,[redacted],[redacted],6112,Wattens,Tirol,,Austria,GER,[redacted],[redacted],[redacted],[redacted],,FN143552g,Austria Trade Register Number,False,5812,Eating places,,,M,1996,8,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Modeled,10,1041,None or Not Available,Corporation,HQ,79277290,80922135,79277290,EUR,Modeled,11.5960121,47.29409775,4,0414245724
10,SPORTSDIRECT.COM Austria GmbH,SPORTSDIRECT,[redacted],[redacted],4600,Wels,Oberösterreich,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.sportsdirect.com,FN309738y,Austria Trade Register Number,False,5699,Miscellaneous apparel and accessory stores,,,M,1977,1662,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Modeled,499,891,None or Not Available,Corporation,HQ,51162445,60242602,51162445,EUR,Actual,14.04537745,48.17871315,4,0411118454
11,Servus Handels- und Verlags-Gesellschaft m.b.H.,PersonalShop,[redacted],[redacted],6404,Polling in Tirol,Tirol,,Austria,GER,[redacted],[redacted],[redacted],[redacted],,FN54044b,Austria Trade Register Number,False,5961,Catalog and mail-order houses,,,M,1962,15,[redacted],Managing Director,[redacted],[redacted],[redacted],Austrian German,Actual,Modeled,294,791,Imports & Exports,Corporation,HQ,196359739,232221114,196359739,EUR,Actual,11.3369876,47.1290095,4,0411736765
12,NUOVO PIGNONE INTERNATIONAL S.r.l.,,[redacted],[redacted],1010,Wien,Wien,,Austria,GER,[redacted],[redacted],[redacted],[redacted],,FN375137y,Austria Trade Register Number,False,5084,Industrial machinery and equipment,,,M,1998,1165,[redacted],Managing Director,[redacted],[redacted],[redacted],,Estimated,Actual,0,2051,None or Not Available,Foreign company,HQ,3328330698,3541530249,3328330698,EUR,Actual,16.3754752,48.202766000000004,4,0411466914
13,Brüggen SWAP Service GmbH,,[redacted],[redacted],4061,Pasching,Oberösterreich,,Austria,GER,[redacted],[redacted],[redacted],[redacted],,FN488521p,Austria Trade Register Number,False,7699,"Repair services, nec",,,M,2015,2,[redacted],Managing Director,[redacted],[redacted],[redacted],,Estimated,Actual,0,4897,None or Not Available,Foreign company,HQ,2240052000,2548180113,2240052000,EUR,Actual,14.2237592,48.23224995,4,0411664759
14,teampool personal service gmbh,,[redacted],[redacted],5201,Seekirchen am Wallersee,Salzburg,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.teampool.com,FN318219w,Austria Trade Register Number,False,7363,Help supply services,,,M,2008,10,[redacted],Managing Director,[redacted],[redacted],[redacted],,Estimated,Actual,0,1604,None or Not Available,Corporation,HQ,94393150,111632265,94393150,EUR,Actual,13.126523500000001,47.892497000000006,4,0411129513
15,Südpack Verpackungen GmbH & Co. KG,,[redacted],[redacted],1300,Schwechat,Niederösterreich,,Austria,GER,[redacted],[redacted],[redacted],[redacted],,FN466845m,Austria Trade Register Number,False,5399,Miscellaneous general merchandise,,,M,1964,3,[redacted],,[redacted],[redacted],[redacted],,Estimated,Modeled,0,1635,None or Not Available,Foreign company,HQ,424654118,469832220,424654118,EUR,Actual,16.5650976,48.1223372,3,0411630089
16,"Arbeitsmarktservice Österreich, Landesgeschäftsstelle Niederösterreich",,[redacted],[redacted],1013,Wien,Wien,,Austria,GER,[redacted],[redacted],[redacted],[redacted],https://www.ams.at/noe,,,,9651,"Regulation, miscellaneous commercial sectors",,,M,1994,3458,[redacted],Managing Director,[redacted],[redacted],[redacted],,Estimated,Actual,0,849,None or Not Available,Local government body,HQ,90364252,102528636,90364252,EUR,Modeled,16.3670634,48.212855000000005,4,0411183773
17,Kommunalkredit Austria AG,,[redacted],[redacted],1090,Wien,Wien,,Austria,GER,[redacted],[redacted],[redacted],[redacted],http://www.kommunalkredit.at,FN439528s,Austria Trade Register Number,False,6029,"Commercial banks, nec",,,M,2015,11,[redacted],Board Member,[redacted],[redacted],[redacted],,Actual,Modeled,290,842,None or Not Available,Corporation,HQ,124729500,141166977,124729500,EUR,Actual,16.3616193,48.217224400000006,4,0411591076
18,MAGNA Auteca GmbH,,[redacted],[redacted],8160,Weiz,Steiermark,,Austria,GER,[redacted],[redacted],[redacted],[redacted],http://www.magna.com/,FN227855g,Austria Trade Register Number,False,3714,Motor vehicle parts and accessories,,,M,1988,631,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Modeled,587,1200,Exports,Corporation,HQ,212500667,251309876,212500667,EUR,Actual,15.6412894,47.208306250000007,4,0411784141
