#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,ID
1,Brava Invest Oy,,[redacted],[redacted],00520,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],,31259074,Finnish Registration Number,False,7389,"Business services, nec",64990,FINNISH NACE REV2 CODE,M,2020,0,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,7613,7613,None or Not Available,Corporation,SingleLocation,483023000,546678186,483023000,EUR,Actual,24.930532000000003,60.1986478,4,0479920436
2,BraveDo Oy,Barona Cloud Services,[redacted],[redacted],00520,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],,29041068,Finnish Registration Number,False,8742,Management consulting services,70220,FINNISH NACE REV2 CODE,M,2018,193,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,44,7613,None or Not Available,Corporation,HQ,482910000,546550294,482910000,EUR,Actual,24.930532000000003,60.1986478,4,0479691210
3,Posti Oy,Logia,[redacted],[redacted],00230,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.posti.fi,01093579,Finnish Registration Number,False,4311,U.s. postal service,53100,FINNISH NACE REV2 CODE,M,1970,4751,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,500,7532,Imports,Corporation,HQ,1219632000,1380361203,1219632000,EUR,Actual,24.9177653,60.2127587,4,0479944269
4,Kesko Oyj,Autokesko,[redacted],[redacted],00580,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.kesko.fi,01098628,Finnish Registration Number,False,5199,"Nondurable goods, nec",46901,FINNISH NACE REV2 CODE,M,1941,595,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,100,7262,Imports & Exports,Corporation,HQ,11300200000,12789396857,11300200000,EUR,Actual,24.9787618,60.1889771,4,0479579546
5,MEM Invest Oy,,[redacted],[redacted],00570,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],,28049869,Finnish Registration Number,False,7389,"Business services, nec",64990,FINNISH NACE REV2 CODE,,2017,0,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,7162,7162,None or Not Available,Corporation,SingleLocation,,,,EUR,,25.0161178,60.1806113,4,0479604493
6,Barona Oy,,[redacted],[redacted],00100,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.barona.fi,28084779,Finnish Registration Number,False,8742,Management consulting services,70220,FINNISH NACE REV2 CODE,M,2017,193,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,91,7098,None or Not Available,Corporation,HQ,378232000,428077304,378232000,EUR,Actual,24.9391836,60.1736974,4,0479606597
7,Seure Henkilöstöpalvelut Oy,,[redacted],[redacted],00500,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.seure.fi,08004153,Finnish Registration Number,False,7363,Help supply services,78200,FINNISH NACE REV2 CODE,M,1990,1188,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,6805,6805,None or Not Available,Corporation,SingleLocation,129392000,146443925,129392000,EUR,Actual,24.962304900000003,60.1857662,4,0650513359
8,HOK-Elanto Liiketoiminta Oy,MyDeli Food Center,[redacted],[redacted],00520,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.hok-elanto.fi,18379573,Finnish Registration Number,False,5411,Grocery stores,47111,FINNISH NACE REV2 CODE,M,2003,429,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,100,6112,Imports,Corporation,HQ,2223915000,2516993638,2223915000,EUR,Actual,24.929001200000002,60.197972500000006,4,0512820844
9,Irepse Oy,,[redacted],[redacted],00300,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],,29897851,Finnish Registration Number,False,8742,Management consulting services,70220,FINNISH NACE REV2 CODE,M,2019,263,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,1,6045,None or Not Available,Corporation,HQ,264552000,312867396,264552000,EUR,Actual,24.9001928,60.1997364,3,0479779497
10,Nokia Solutions and Networks Oy,NSN Finland,[redacted],[redacted],02610,Espoo,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.nokia.com,20584306,Finnish Registration Number,False,3571,Electronic computers,26200,FINNISH NACE REV2 CODE,M,2006,1099,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,1001,5866,Imports & Exports,Corporation,HQ,12230424000,13842210427,12230424000,EUR,Actual,24.756109700000003,60.221777900000006,4,0650936777
11,Lidl Suomi Kommandiittiyhtiö,Lidl,[redacted],[redacted],02200,Espoo,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.lidl.fi,16157790,Finnish Registration Number,False,5411,Grocery stores,47111,FINNISH NACE REV2 CODE,M,2000,4361,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,100,5555,Imports,Partnership of unknown type,HQ,1863371000,2102877528,1863371000,EUR,Actual,24.7772882,60.1694111,4,0480602799
12,Pemarha Oy,,[redacted],[redacted],00200,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],,10001461,Finnish Registration Number,False,8742,Management consulting services,70220,FINNISH NACE REV2 CODE,M,1995,0,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,5463,5463,None or Not Available,Corporation,SingleLocation,3801367,4000000,3801367,EUR,Modeled,24.86814785,60.156481750000005,4,0651779211
13,ABB Oy,Durelek,[redacted],[redacted],00380,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.abb.fi,07634030,Finnish Registration Number,False,3621,Motors and generators,27110,FINNISH NACE REV2 CODE,M,1989,1713,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,500,4418,Imports & Exports,Corporation,HQ,2048386000,2318332549,2048386000,EUR,Actual,24.868581600000002,60.2211032,4,0649151870
14,PHM Group Holding Oyj,,[redacted],[redacted],00380,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],,31238118,Finnish Registration Number,False,6289,Security and commodity service,66120,FINNISH NACE REV2 CODE,M,2020,140,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,1,4138,None or Not Available,Corporation,HQ,364215000,412213074,364215000,EUR,Actual,24.8765384,60.217022,4,0479918228
15,PHM Group TopCo Oy,,[redacted],[redacted],00380,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],,31238097,Finnish Registration Number,False,6289,Security and commodity service,66120,FINNISH NACE REV2 CODE,,2020,140,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,1,4138,None or Not Available,Corporation,HQ,364215000,412213074,364215000,EUR,Actual,24.8765384,60.217022,4,0479918226
16,Valmet Technologies Oy,ECP Group,[redacted],[redacted],02150,Espoo,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.valmet.com,15391809,Finnish Registration Number,False,3554,Paper industries machinery,28950,FINNISH NACE REV2 CODE,M,1999,210,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,10,4137,Imports & Exports,Corporation,HQ,1689424000,1912064742,1689424000,EUR,Actual,24.8295915,60.1734523,3,0480265068
17,Tokmanni Oy,Ale-Makasiini Matti Riikonen,[redacted],[redacted],04600,Mäntsälä,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.tokmanni.fi,19284269,Finnish Registration Number,False,5411,Grocery stores,47111,FINNISH NACE REV2 CODE,M,2004,199,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,100,4082,Imports & Exports,Corporation,HQ,1141808000,1292281167,1141808000,EUR,Actual,25.2779762,60.63059865,4,0513046282
18,SSAB Europe Oy,Ruukki Metals,[redacted],[redacted],13300,Hämeenlinna,Kanta-Häme,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.ssab.com,23894457,Finnish Registration Number,False,3312,Blast furnaces and steel mills,24100,FINNISH NACE REV2 CODE,M,2011,298,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,20,4080,Imports & Exports,Corporation,HQ,2670117000,3021998369,2670117000,EUR,Actual,24.5355347,60.9713116,4,0650901045
19,YIT Suomi Oy,Alfred A. Palmberg,[redacted],[redacted],00620,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],http://www.yit.fi,15655835,Finnish Registration Number,False,1521,Single-family housing construction,41200,FINNISH NACE REV2 CODE,M,1999,199,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,1001,3827,Imports,Corporation,HQ,2005149000,2269397561,2005149000,EUR,Actual,24.947670600000002,60.2214133,4,0480382308
20,Eezy Oyj,Eezy Corporation,[redacted],[redacted],00180,Helsingfors,Uusimaa,,Finland,FIN,[redacted],[redacted],[redacted],[redacted],https://kevytyrittajat.eezy.fi/,28545707,Finnish Registration Number,False,7389,"Business services, nec",70100,FINNISH NACE REV2 CODE,M,2017,45,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,44,3694,None or Not Available,Corporation,HQ,203328000,230123580,203328000,EUR,Actual,24.9200589,60.163725000000007,4,0479644209
