#,AWIS_Station_ID,date,Max_Temp,Min_Temp,MaxST,MinST,Precip,Evap,PEvap,Solar_rad,Sunshine
1,EGLL,01/01/1975,47,42,999999,999999,0.05,999999,999999,999999,999999
2,EGLL,01/02/1975,47,43,999999,999999,0.05,999999,999999,999999,999999
3,EGLL,01/03/1975,46,44,999999,999999,0.00,999999,999999,999999,999999
4,EGLL,01/04/1975,47,42,999999,999999,0.00,999999,999999,999999,999999
5,EGLL,01/05/1975,49,36,999999,999999,0.00,999999,999999,999999,999999
6,EGLL,01/06/1975,48,36,999999,999999,0.00,999999,999999,999999,999999
7,EGLL,01/07/1975,46,45,999999,999999,0.04,999999,999999,999999,999999
8,EGLL,01/08/1975,47,41,999999,999999,0.01,999999,999999,999999,999999
9,EGLL,01/09/1975,48,42,999999,999999,0.00,999999,999999,999999,999999
10,EGLL,01/10/1975,50,44,999999,999999,0.00,999999,999999,999999,999999
11,EGLL,01/11/1975,53,46,999999,999999,0.00,999999,999999,999999,999999
12,EGLL,01/12/1975,49,44,999999,999999,0.00,999999,999999,999999,999999
13,EGLL,01/13/1975,49,45,999999,999999,0.15,999999,999999,999999,999999
14,EGLL,01/14/1975,53,39,999999,999999,0.01,999999,999999,999999,999999
15,EGLL,01/15/1975,56,39,999999,999999,0.08,999999,999999,999999,999999
16,EGLL,01/16/1975,44,40,999999,999999,0.04,999999,999999,999999,999999
17,EGLL,01/17/1975,45,41,999999,999999,0.30,999999,999999,999999,999999
18,EGLL,01/18/1975,44,37,999999,999999,0.00,999999,999999,999999,999999
19,EGLL,01/19/1975,46,37,999999,999999,0.52,999999,999999,999999,999999
20,EGLL,01/20/1975,46,32,999999,999999,0.13,999999,999999,999999,999999
21,EGLL,01/21/1975,49,33,999999,999999,0.54,999999,999999,999999,999999
22,EGLL,01/22/1975,50,35,999999,999999,0.17,999999,999999,999999,999999
23,EGLL,01/23/1975,50,39,999999,999999,0.09,999999,999999,999999,999999
24,EGLL,01/24/1975,50,37,999999,999999,0.05,999999,999999,999999,999999
25,EGLL,01/25/1975,50,37,999999,999999,0.22,999999,999999,999999,999999
