#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,UniqueID
1,"VAD, AO",,[redacted],[redacted],160019,Vologda,Vologodskaya oblast',Severo-Zapadnyy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,34390716,Local Government Gazette Number,False,1611,Highway and street construction,42.11,,,1994,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,8726,8726,None or Not Available,Corporation,SingleLocation,81741918000,1087657961,1091191157,RUB,Actual,39.89631475,59.24577295,4,0476650278
2,"RENEISSANS KHEVI INDASTRIS, OOO","""RENAISSANCE HEAVY INDUSTRIES"" LLC",[redacted],[redacted],121108,Moskva,Moskva,Tsentral'nyy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,30706521,Local Government Gazette Number,False,1629,"Heavy construction, nec",42.99,,M,2011,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,8136,8136,None or Not Available,Corporation,SingleLocation,53378919000,710259896,712567135,RUB,Actual,37.4483553,55.7277488,3,0615498701
3,"KZHD, FGUP",,[redacted],[redacted],295051,,,,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,00827113,Local Government Gazette Number,False,4011,"Railroads, line-haul operating",49.20,,,2015,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,7783,7783,None or Not Available,Corporation,SingleLocation,4175954000,55565244,55745744,RUB,Actual,,,0,0618415419
4,"ALFA RYAZAN, OOO",,[redacted],[redacted],390000,Ryazan,Ryazanskaya oblast',Tsentral'nyy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,26698305,Local Government Gazette Number,False,5921,Liquor stores,47.25.1,,M,2014,0,[redacted],Director,[redacted],[redacted],[redacted],,Estimated,Estimated,7349,7349,None or Not Available,Corporation,SingleLocation,44580952000,593194147,595121105,RUB,Actual,39.7502688,54.623172600000004,4,0632535919
5,"LIDER KONSALT PERSONAL, OOO",,[redacted],[redacted],196084,Sankt-Peterburg,Sankt-Peterburg,Severo-Zapadnyy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,01191812,Local Government Gazette Number,False,5812,Eating places,56.10,,M,2015,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,6829,6829,None or Not Available,Corporation,SingleLocation,7055688000,93882985,94187958,RUB,Actual,30.3308444,59.9050884,2,0632890035
6,"KILOBAIT, OOO",,[redacted],[redacted],440047,Penza,Penzenskaya oblast',Privolzhskiy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,45631948,Local Government Gazette Number,False,8741,Management services,82.11,,M,2013,35,[redacted],Director,[redacted],[redacted],[redacted],,Estimated,Estimated,6312,6312,None or Not Available,Corporation,SingleLocation,10364707000,137912791,138360793,RUB,Actual,44.935288650000004,53.23475895,4,0617651942
7,"PSM, OOO",,[redacted],[redacted],197348,Sankt-Peterburg,Sankt-Peterburg,Severo-Zapadnyy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,56228011,Local Government Gazette Number,False,1799,"Special trade contractors, nec",43.99,,M,2001,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,6126,6126,None or Not Available,Corporation,SingleLocation,10706560000,142461487,142924265,RUB,Actual,30.2985702,59.9970939,4,0465805412
8,"EPRS, AO",,[redacted],[redacted],628600,Nizhnevartovsk,Khanty-Mansiyskiy avt. Okrug,Ural'skiy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,52536460,Local Government Gazette Number,False,1381,Drilling oil and gas wells,09.10.1,,M,1999,0,[redacted],Director-General,[redacted],[redacted],[redacted],,Estimated,Estimated,6088,6088,None or Not Available,Corporation,SingleLocation,13073695000,173958586,174523680,RUB,Actual,76.48003875,60.8880876,4,0468832264
9,"UPRAVLENIE CHERNOMORSKOGO FLOTA-3 FES, FILIAL","FL FKU ""UPRAVLENIE CHERNOMORSKOGO FLOTA"" - ""3 FINANSOVO-EKONOMICHESKAYA SLUZHBA""",[redacted],[redacted],299003,Krasnoye,Kaluzhskaya oblast',Tsentral'nyy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,08343917,Local Government Gazette Number,False,9711,National security,84.22,,M,2014,0,[redacted],Manager,[redacted],[redacted],[redacted],,Estimated,Estimated,0,5561,None or Not Available,Not available,SingleLocation,24847278004,458059570,459547551,RUB,Modeled,35.181119,53.4581147,1,0473441474
10,"KOMPANIYA TENZOR, OOO",TENSOR COMPANY LTD,[redacted],[redacted],150001,Yaroslavl,Yaroslavskaya oblast',Tsentral'nyy Federal'nyy Okrug,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,50946225,Local Government Gazette Number,False,7371,Custom computer programming services,62.01,,M,1999,0,[redacted],Director,[redacted],[redacted],[redacted],,Estimated,Estimated,5549,5549,None or Not Available,Corporation,SingleLocation,9321757000,124035299,124438220,RUB,Actual,39.881699950000005,57.6112752,4,0676763111
11,"VOISKOVAYA CHAST 23457, FGBU",,[redacted],[redacted],,,,,Russia,RUL,[redacted],[redacted],[redacted],[redacted],,08523401,Local Government Gazette Number,False,9711,National security,,,,,0,[redacted],,[redacted],[redacted],[redacted],,Estimated,Estimated,5001,5001,None or Not Available,Not available,SingleLocation,29865320815,411932370,413270509,RUB,Modeled,,,0,0633367416
