#,ID,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription
1,0426127406,VOLKSWAGEN AG,VW AG,[redacted],[redacted],38440,Wolfsburg,"Wolfsburg, Stadt",Niedersachsen,Germany,GER,[redacted],[redacted],[redacted],[redacted],http://www.volkswagenag.com/,38100B100484,Germany Registration Number,False,5012,Automobiles and other motor vehicles,,,M,1937,3340,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],German,Estimated,Estimated,0,667647,None or Not Available,Corporation,HQ,250200000000,283172607000,250200000000,EUR,Actual
2,0659219604,Sinopec Northwest Oil Field Branch,,[redacted],[redacted],830011,,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,,,,5172,"Petroleum products, nec",,,,2002,2,[redacted],Information Technology Manager,[redacted],[redacted],[redacted],,Estimated,Estimated,0,640535,None or Not Available,Not available,HQ,723775481362,110364180500,108120893641,CNY,Modeled
3,0755508337,KENYA TEA DEVELOPMENT AGENCY HOLDINGS COMPANY LTD,KTDA,[redacted],[redacted],00100,Nairobi,,,Kenya,ENG,[redacted],[redacted],[redacted],[redacted],,C 89741,Kenya Registration Number,False,5149,"Groceries and related products, nec",,,M,2000,4,[redacted],Chairman,[redacted],[redacted],[redacted],,Estimated,Actual,0,600000,None or Not Available,Local government body,HQ,7175609756098,60899400000,61097228317,KES,Modeled
4,0992224017,JARAMILLO MARTINEZ CAROLINA,,[redacted],[redacted],,Manizales,Caldas,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,340008531,Colombian National Tributary Id Number,True,5013,Motor vehicle supplies and new parts,,,M,2006,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,515000,515000,None or Not Available,Not available,SingleLocation,4691629956,1065000,1043352,COP,Modeled
5,0993719462,AREVALO BENITEZ ALEXIS,,[redacted],[redacted],,Tibú,Norte de Santander,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,54267345,Colombian National Tributary Id Number,True,5159,"Farm-product raw materials, nec",,,M,2008,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,500000,500000,None or Not Available,Not available,SingleLocation,4356828194,989000,968897,COP,Modeled
6,0655746562,PETRO CHINA COMPANY LIMITED,,[redacted],[redacted],100120,Beijing,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,100000000032522,China Business Registration Number,False,5172,"Petroleum products, nec",,,M,1999,33174,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,417173,None or Not Available,Joint venture,HQ,2614349000000,408936470580,400624337004,CNY,Actual
7,0655822439,China Petroleum & Chemical Corporation,Sinopec Corp.,[redacted],[redacted],100000,Beijing,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,100000000032985,China Business Registration Number,False,5172,"Petroleum products, nec",,,M,2000,38036,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,385691,None or Not Available,Joint venture,HQ,2740884000000,428729075280,420014632822,CNY,Actual
8,0669059962,SECURITAS U A E LLC ABU DHABI BRANCH,,[redacted],[redacted],,Abu Dhabi,Abu Dhabi,,United Arab Emirates,ENG,[redacted],[redacted],[redacted],[redacted],,CN-1165894,United Arab Emirates Registration Number,False,5065,"Electronic parts and equipment, nec",,,,2009,3,[redacted],Personnel Director,[redacted],[redacted],[redacted],,Actual,Actual,355000,355000,None or Not Available,Foreign company,SingleLocation,71107818,19359317,19422204,AED,Actual
9,0118108253,"Lowe's Companies, Inc.",Lowe's,[redacted],[redacted],28117,Mooresville,Iredell,North Carolina,USA,ENG,[redacted],[redacted],[redacted],[redacted],www.lowes.com,,,,5031,"Lumber, plywood, and millwork",,,M,1921,2040,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,2330,340000,None or Not Available,Corporation,HQ,96250000000,96250000000,96562662777,USD,Actual
10,0531593825,Guangdong Pu'er Hangzhou Branch Company,,[redacted],[redacted],310000,Hangzhou,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,,,,5198,"Paints, varnishes, and supplies",,,,,0,[redacted],,[redacted],[redacted],[redacted],,Estimated,Estimated,0,3000000,None or Not Available,Not available,SingleLocation,51718654,7317000,7168273,CNY,Modeled
11,0962267335,STELLANTIS MIDDLE EAST - FZE,Fiat Chrysler Automobiles,[redacted],[redacted],,Dubai,Dubai,,United Arab Emirates,ENG,[redacted],[redacted],[redacted],[redacted],,160459,United Arab Emirates Registration Number,False,5012,Automobiles and other motor vehicles,,,M,2017,0,[redacted],Regional Manager,[redacted],[redacted],[redacted],,Estimated,Estimated,300000,300000,Imports,Corporation,SingleLocation,7139783,1944120,1950435,AED,Modeled
12,0797938009,LOPEZ SANCHEZ WILSON ESCUDER,,[redacted],[redacted],,Puerto Asís,Putumayo,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,5039,"Construction materials, nec",,,M,2020,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,300000,300000,None or Not Available,Not available,SingleLocation,4691629956,1065000,1043352,COP,Modeled
13,0641994237,Beijing Keling New Technology Development Guizhou Company,,[redacted],[redacted],550000,Guiyang,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,520000000011053,China Business Registration Number,False,5049,"Professional equipment, nec",,,M,1995,0,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,300000,300000,None or Not Available,Corporation,SingleLocation,50150965,7541000,7387719,CNY,Modeled
14,0894378061,"Home Depot U.S.A., Inc.","Home Depot, The",[redacted],[redacted],30339,Atlanta,Fulton,Georgia,USA,ENG,[redacted],[redacted],[redacted],[redacted],www.homedepot.com,,,,5023,Homefurnishings,,,M,1989,2646,[redacted],Ceo,[redacted],[redacted],[redacted],,Actual,Actual,1214,300000,Imports & Exports,Corporation,HQ,1833746788,1833746788,1839703612,USD,Modeled
15,0765621126,Byd Company Limited,BYD,[redacted],[redacted],518000,Shenzhen,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,440301501127941,China Business Registration Number,False,5012,Automobiles and other motor vehicles,,,M,1995,515,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,288186,Imports & Exports,Joint venture,HQ,216142395000,33808993426,33121784312,CNY,Actual
16,0429118121,REWE-ZENTRALFINANZ eG,REWE Konzern,[redacted],[redacted],50668,Keulen,"Köln, Stadt",Nordrhein-Westfalen,Germany,GER,[redacted],[redacted],[redacted],[redacted],http://www.rewe-group.com/,50670G631,Germany Registration Number,False,5099,"Durable goods, nec",,,M,1927,6225,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],German,Estimated,Estimated,3686,256162,None or Not Available,Partnership of unknown type,HQ,68229300000,80690085288,68229300000,EUR,Actual
