#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,UniqueID
1,Clas Ohlson AS,CLAS OHLSON,[redacted],[redacted],0181,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.clasohlson.com/no/,937402198,Norwegian Government Organization Number,False,5311,Department stores,47190,NORWEGIAN NACE CODE REV2,M,1985,250,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,1786,1833,None or Not Available,Corporation,HQ,3642782000,427185402,428573090,NOK,Actual,10.747224000000001,59.913795,4,0626244126
2,Schlumberger Norge AS,STATOIL,[redacted],[redacted],4056,Sola,Rogaland,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.slb.com,968360302,Norwegian Government Organization Number,False,1389,"Oil and gas field services, nec",09109,NORWEGIAN NACE CODE REV2,M,1993,1530,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Estimated,Actual,0,1953,None or Not Available,Corporation,HQ,8285095000,912884907,915850362,NOK,Actual,5.6072440000000006,58.920404000000005,4,0630774409
3,Pricewaterhousecoopers AS,,[redacted],[redacted],0194,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],,987009713,Norwegian Government Organization Number,False,8721,"Accounting, auditing, and bookkeeping",69202,NORWEGIAN NACE CODE REV2,M,2004,28,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,1765,1767,None or Not Available,Corporation,HQ,3240345000,388099361,389360080,NOK,Actual,10.760908,59.906863,4,0841472079
4,Blueway AS,,[redacted],[redacted],6977,Førde,Vestland,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],,990141533,Norwegian Government Organization Number,False,4512,"Air transportation, scheduled",51100,NORWEGIAN NACE CODE REV2,M,2006,12,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,,Modeled,,1648,None or Not Available,Corporation,HQ,300000,33055,33162,NOK,Actual,5.7661711,61.3908982,2,0677623084
5,Tacora Norway AS,,[redacted],[redacted],0161,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],https://www.kvale.no/,926009435,Norwegian Government Organization Number,False,1011,Iron ores,07100,NORWEGIAN NACE CODE REV2,M,2020,9,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,,Modeled,,3000,None or Not Available,Corporation,HQ,,,,NOK,,10.72973,59.913907,4,0458248023
6,Kongsberg Maritime AS,,[redacted],[redacted],3183,Horten,Vestfold og Telemark,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.km.kongsberg.com,979750730,Norwegian Government Organization Number,False,3829,"Measuring and controlling devices, nec",26510,NORWEGIAN NACE CODE REV2,M,1998,191,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,3394,3400,None or Not Available,Corporation,HQ,10309196000,1135908452,1139598387,NOK,Actual,10.466946400000001,59.425890300000006,4,0842079306
7,ISS Facility Services AS,ISS,[redacted],[redacted],0195,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.no.issworld.com/,914791723,Norwegian Government Organization Number,False,7349,"Building maintenance services, nec",81210,NORWEGIAN NACE CODE REV2,M,1952,2121,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,8018,8061,None or Not Available,Corporation,HQ,4247903000,468050944,469571381,NOK,Actual,10.785799,59.904046,4,0630103140
8,Fjord1 AS,,[redacted],[redacted],6905,Florø,Vestland,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.fjord1.no,983472583,Norwegian Government Organization Number,False,4482,Ferries,50102,NORWEGIAN NACE CODE REV2,M,2001,19,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Estimated,Actual,0,1537,None or Not Available,Corporation,HQ,2828793000,311687728,312700228,NOK,Actual,5.0239410000000007,61.600488500000004,4,0629390731
9,Statnett Sf,,[redacted],[redacted],0484,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],https://www.statnett.no/,962986633,Norwegian Government Organization Number,False,4911,Electric services,35120,NORWEGIAN NACE CODE REV2,M,1991,50,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,1685,1698,None or Not Available,Corporation,HQ,14412000000,1587971808,1593130246,NOK,Actual,10.767167,59.947227000000005,4,0629437461
10,Ernst & Young AS,,[redacted],[redacted],0191,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],,976389387,Norwegian Government Organization Number,False,8721,"Accounting, auditing, and bookkeeping",69202,NORWEGIAN NACE CODE REV2,M,1996,160,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,1753,1818,None or Not Available,Corporation,HQ,3759833000,450318958,451781794,NOK,Actual,10.755484000000001,59.908677000000004,4,0673284165
11,Pedagogisk Vikarsentral AS,,[redacted],[redacted],5014,Bergen,Vestland,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.pvs.no,986550909,Norwegian Government Organization Number,False,7363,Help supply services,78200,NORWEGIAN NACE CODE REV2,M,2004,237,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,3599,3702,None or Not Available,Corporation,HQ,520356000,57334906,57521155,NOK,Actual,5.3254026,60.393761100000006,4,0841188980
12,Toma Facility Norge AS,,[redacted],[redacted],5147,Bergen,Vestland,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.tomagruppen.no,984684037,Norwegian Government Organization Number,False,7349,"Building maintenance services, nec",81210,NORWEGIAN NACE CODE REV2,M,2002,279,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Estimated,Actual,0,2615,None or Not Available,Corporation,HQ,1036746000,114232821,114603899,NOK,Actual,5.2760640000000008,60.347580900000004,4,0630607342
13,Voice Norge AS,BOYS OF EUROPE,[redacted],[redacted],0462,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.voice.no,957560199,Norwegian Government Organization Number,False,5651,Family clothing stores,47710,NORWEGIAN NACE CODE REV2,M,1990,270,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,1571,1599,None or Not Available,Corporation,HQ,1824430000,201022995,201676007,NOK,Actual,10.754143000000001,59.936445000000006,4,0626273448
14,B Finans AS,BUNNPRIS,[redacted],[redacted],7011,Trondheim,Trøndelag,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],https://bunnpris.no/butikker/bunnpris-munkegaten,937677391,Norwegian Government Organization Number,False,5411,Grocery stores,47111,NORWEGIAN NACE CODE REV2,M,1985,4,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,,Modeled,,2300,None or Not Available,Corporation,HQ,677000,74595,74837,NOK,Actual,10.393741,63.432085,4,0626210022
15,Norgesbuss AS,,[redacted],[redacted],1414,Ski,Viken,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.norgesbuss.no,971654007,Norwegian Government Organization Number,False,4111,Local and suburban transit,49311,NORWEGIAN NACE CODE REV2,M,1995,59,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,1592,1604,None or Not Available,Corporation,HQ,1440020000,158667164,159182585,NOK,Actual,10.788174000000001,59.822087,4,0672998112
16,Europris ASA,,[redacted],[redacted],1661,Fredrikstad,Viken,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.europris.no,997639588,Norwegian Government Organization Number,False,5311,Department stores,47190,NORWEGIAN NACE CODE REV2,M,2011,276,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,,Modeled,,1635,None or Not Available,Corporation,HQ,8648177000,952890735,955986147,NOK,Actual,11.005524000000001,59.258555,4,0456123476
17,Avarn Security Group Holding AS,,[redacted],[redacted],0582,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],https://avarnsecurity.no,926867970,Norwegian Government Organization Number,False,7381,Detective and armored car services,80100,NORWEGIAN NACE CODE REV2,M,2021,113,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,,Modeled,,2335,None or Not Available,Corporation,HQ,7872393000,867411750,870229488,NOK,Actual,10.831283,59.93014,4,0458361537
18,Apotek 1 Gruppen AS,APOTEK 1,[redacted],[redacted],1473,Lørenskog,Viken,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.apotek1.no,983044778,Norwegian Government Organization Number,False,5912,Drug stores and proprietary stores,47730,NORWEGIAN NACE CODE REV2,M,2001,1241,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,6936,6952,None or Not Available,Corporation,HQ,13109712000,1512283937,1517196507,NOK,Actual,10.953769300000001,59.9218988,4,0629222215
19,Norsk Rikskringkasting AS,,[redacted],[redacted],0340,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],https://www.nrk.no/,976390512,Norwegian Government Organization Number,False,4833,Television broadcasting stations,60200,NORWEGIAN NACE CODE REV2,M,1996,30,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,4135,4159,None or Not Available,Corporation,HQ,6023169000,663656853,665812705,NOK,Actual,10.7176959,59.935126000000004,4,0673282855
20,Avinor AS,,[redacted],[redacted],0191,Oslo,Oslo,,Norway,NOR,[redacted],[redacted],[redacted],[redacted],http://www.avinor.no,985198292,Norwegian Government Organization Number,False,4581,"Airports, flying fields, and services",52230,NORWEGIAN NACE CODE REV2,M,2002,138,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,1876,1909,None or Not Available,Corporation,HQ,9314000000,1026253776,1029587504,NOK,Actual,10.755527,59.908927000000006,4,0672247171
