#,Methodology Version,API Title,Algorithm,ts,id,ecosystem,utility,technology,sentiments,rda_points,name,type,abbr,logo,marketPrice,marketPrice-USD,circulatingSupply,marketCapitalisation,marketCapitalisation-USD,crunchLevel,description,ivrank
1,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,2682,122.28202456161932,271.4346879761586,15.403679983277508,2.1966554664531803,411.31704798750866,Holo,null,HOT,https://assets.rdaindex.com/img/cryptoicons/32x32/2682.png,0.009636599504,0.013154510154660978,1.7289587044336282E11,1.66612825941E9,2.2743604835169315E9,91.83673469387756,Holo (HOT) is a cryptocurrency and operates on the Ethereum platform. Holo has a current supply o...,1
2,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1027,117.59147728205306,136.0512165329102,44.21858776598195,27.484372571209548,325.34565415215474,Ethereum,null,ETH,https://assets.rdaindex.com/img/cryptoicons/32x32/1027.png,3312.806755958217,4522.170926953348,1.181911038115E8,3.915442872009E11,5.344803734808956E11,95.91836734693877,Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining...,2
3,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,4705,69.50543106417192,158.6214274202416,4.084334129875573,0.0,232.21119261428908,PAX Gold,null,PAXG,https://assets.rdaindex.com/img/cryptoicons/32x32/4705.png,1303.727575159878,1779.6627969475637,179251.126,2.3369463584E8,3.190065602468021E8,95.91836734693877,PAX Gold (PAXG) is a cryptocurrency and operates on the Ethereum platform. PAX Gold has a current...,3
4,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,2010,79.93044340902125,48.547272482144294,36.210715341304756,16.145456602789583,180.83388783525987,Cardano,null,ADA,https://assets.rdaindex.com/img/cryptoicons/32x32/2010.png,1.510685097393,2.0621716660428335,3.3270316465615E10,5.026097127015E10,6.8609103935664795E10,95.91836734693877,Cardano (ADA) is a cryptocurrency launched in 2017. Users are able to generate ADA through the pr...,4
5,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,825,55.510538887494974,61.325565411278106,35.26198208318756,5.629787338208567,157.7278737201692,Tether,null,USDT,https://assets.rdaindex.com/img/cryptoicons/32x32/825.png,0.733243719904,1.0009196662489583,7.104576076065137E10,5.209385790356E10,7.111109914896864E10,93.87755102040816,Tether (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether has a current sup...,5
6,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,8916,111.21864333568291,25.200146891835992,9.406459564684052,0.0,145.82524979220295,Internet Computer,null,ICP,https://assets.rdaindex.com/img/cryptoicons/32x32/8916.png,33.521228155245,45.758395996621445,1.7527222507E8,5.87534024585E9,8.020175881963492E9,93.87755102040816,Internet Computer (ICP) is a cryptocurrency launched in 2021. Internet Computer has a current sup...,6
7,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1,43.83822238769213,42.462918480371194,39.33265341426827,17.766504281520035,143.40029856385163,Bitcoin,null,BTC,https://assets.rdaindex.com/img/cryptoicons/32x32/1.png,45831.420651129185,62562.513686240425,1.8862587E7,8.6449915936552E11,1.1800908573453994E12,95.91836734693877,Bitcoin (BTC) is a cryptocurrency . Users are able to generate BTC through the process of mining....,7
8,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,512,56.957007669340975,35.03331735463231,20.644167831248016,3.1602110540726724,115.79470390929397,Stellar,null,XLM,https://assets.rdaindex.com/img/cryptoicons/32x32/512.png,0.275375085835,0.37590276128561056,2.419920123987099E10,6.66385711858E9,9.096546566990177E9,93.87755102040816,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,802,663.98352 with 24,...",8
9,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1274,56.44658445164994,41.46257259099485,15.623866714894348,0.0013696929539817554,113.53439345049313,Waves,null,WAVES,https://assets.rdaindex.com/img/cryptoicons/32x32/1274.png,18.790365706104,25.649925203194215,1.06598884E8,2.00303201422E9,2.734253401340484E9,93.87755102040816,"Waves (WAVES) is a cryptocurrency launched in 2016. Waves has a current supply of 106,594,582. Th...",9
10,2.0,RDA IV Ranking,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1958,60.55102081708192,22.601510803464706,22.28574917860213,3.7237860644272605,109.16206686357602,TRON,null,TRX,https://assets.rdaindex.com/img/cryptoicons/32x32/1958.png,0.075957088061,0.10368577482151868,7.165965736949E10,5.44305890524E9,7.430087097806347E9,95.91836734693877,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 100,850,743,811.662003 with 71,659,...",10
