url,title,description,category,type,offer_type,price,company_name,detail,dimension,limit,category_aws
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1856,企业涉诉数据高精板,企业涉诉数据高精板,互联网/IT/电子/通信,API数据,平台内交付,0.5元/次,北京鼎泰智源科技有限公司,"法海风控覆盖了全国 5000+全部法院网站

的公开司法信息以及全周期信息（包括立案、开庭、裁判、执行、失

信、司法查冻扣、拍卖公告等全部阶段的信息）。

",3,"

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1863,企业三要素验证,输入企业全称、法定代表人名称、统一社会信用代码/注册号/组织机构代码，验证是否匹配。,互联网/IT/电子/通信,API数据,平台内交付,0.1元/次,深圳国信数据服务有限公司,"输入企业全称、法定代表人名称、统一社会信用代码/注册号/组织机构代码，验证是否匹配。

",3,"

需通过接口Token获取得到token后，调用接口

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1829,企业基本信息,通过企业唯一标识获取企业工商基本信息，包括统一社会信用代码、注册资本、法定代表人、经营范围、经营状态等信息。,互联网/IT/电子/通信,API数据,平台内交付,0.2元/次,深圳国信数据服务有限公司,"通过企业唯一标识获取企业工商基本信息，包括统一社会信用代码、注册资本、法定代表人、经营范围、经营状态等信息。

",1,"

需通过接口Token获取得到Token后，调用接口

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1876,综合风险排查服务-精确搜索匹配个人版,贷前风控：客户筛查、多维验证、风险评价、数据建模、智能识别、量化风险、风险防范、风险识别；,信息传输、软件和信息技术服务业,API数据,平台内交付,5元/次,北京汇法信息技术有限公司,"汇法【综合风险排查服务】产品，涵盖全国司法涉诉案例、行政违法案例、市场监管案例等多维度、多层次、多领域的内容。其中，汇法全国司法涉诉案例主要提供最高法院、省、市、县等全国范围各级法院全流程的司法涉诉内容，包括但不限于开庭公告、裁判文书、送达公告、执行、失信、查封冻结、案件终本、司法协助等涉诉内容；覆盖面广，每日实时更新。

",2,"

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1875,综合风险排查服务-精确搜索匹配企业版,贷前风控：客户筛查、多维验证、风险评价、数据建模、智能识别、量化风险、风险防范、风险识别；,信息传输、软件和信息技术服务业,API数据,平台内交付,5元/次,北京汇法信息技术有限公司,"汇法【综合风险排查服务】产品，涵盖全国司法涉诉案例、行政违法案例、市场监管案例等多维度、多层次、多领域的内容。其中，汇法全国司法涉诉案例主要提供最高法院、省、市、县等全国范围各级法院全流程的司法涉诉内容，包括但不限于开庭公告、裁判文书、送达公告、执行、失信、查封冻结、案件终本、司法协助等涉诉内容；覆盖面广，每日实时更新。

",1,"

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1819,教育履历核验,用户教育履历核验,教育,API数据,平台内交付,2元/次,上海数山科技有限公司,"用户教育履历核验

",9,"

",Other
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1901,手机在网时长-三网,查询请求手机号的在网时长,信息传输、软件和信息技术服务业,API数据,平台内交付,0.13元/次,北京宝华恩利科技有限公司,"**1\. 调用说明：**

请求方式：post

服务名称：api_query_mobileDuration_v1

参数格式：application/json;charset=UTF-8

 **2\. 公共请求参数：**

  

字段| 必须| 类型| 说明  
---|---|---|---  
serviceName| 是| String| 服务名称  
accessKey| 是| String| 商户账号  
secretKey| 是| String| 商户秘钥  
timestamp| 是| Long| 时间戳  
businessNo| 是| String| 商户流水号  
  
 **3\. 请求参数：**

  

字段| 必须| 类型| 说明  
---|---|---|---  
mobile| 是| String| 手机号  
encryptType| 否| String| 加密类型： MD5; SHA256; SM3  
  
 **4.请求示例**

  

{ ""serviceName"":""api_query_mobileDuration_v1"", ""accessKey"":""xxx"",
""timestamp"":1602296068483, ""businessNo"":""602296068483"", ""secretKey"":""xxx"",
""mobile"":""xxx"" }  
---  
  
 **5\. 响应参数**

  

字段| 级别| 必须| 类型| 说明  
---|---|---|---|---  
status| 一级| 是| String| 响应码  
message| 一级| 是| String| 说明  
data| 一级| 是| String| 结果  
value| 二级| 是| String| [0-3)[3-6)[6-12)[12-24)[24+)；-1（未查得）  
operator| 二级| 否| Integer| 1：移动2：联通3：电信4：广电  
  
 **6\. 响应成功示例**

  

{ ""status"":""0000"", ""message"":""请求成功"", ""data"":{ ""value"":""0-3"" }}  
---  
  
 **7\. 响应失败示例**

  

{ ""status"":""5000"", ""message"":""数据源异常""}  
---  
  
 **8\. 响应码说明**

  

status| 说明  
---|---  
0000| 请求成功  
3000| 无效的商户或已禁用  
3001| 商户余额不足  
3002| IP受限  
3003| 商户没有该API访问权限  
4000| 查询参数异常  
4001| 时间戳无效  
4002| 商号入参流水号无效  
4004| 相同键请求过于频繁  
4005| 产品调用超限  
4010| 查询参数异常：身份证格式错误  
4011| 查询参数异常：姓名格式错误  
4012| 查询参数异常：不支持的手机号  
4013| 查询参数异常：银行卡格式错误  
5000| 数据源异常  
  
  

",1,"

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1802,三网运营商三要素核验,通过姓名、身份证号、手机号进行一致性核验,信息传输、软件和信息技术服务业,API数据,平台内交付,0.35元/次,中互数研（北京）科技有限公司,"通过姓名、身份证号、手机号进行一致性核验

",4,"

1.使用该接口之前，需要获取用户明确授权。

2.使用该接口的企业必须为中国内资企业。

3.用于合法合规的使用场景。

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1660,专利信息,https://datacenter.aminer.cn/gateway/open_platform/api/v3/patent/detail/open,信息传输、软件和信息技术服务业,API数据,平台内交付,0.01元/次,北京智谱华章科技有限公司,"根据专利ID获取专利相关信息，包括专利名称、摘要等字段

<https://datacenter.aminer.cn/gateway/open_platform/api/v3/patent/detail/open>

",35,"

不能够直接出售或转让

",Telecommunications Data
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1662,化塑新材料全国产能数据,化塑新材料全国产能数据，是化塑新材料从业者的“行业时间轴”。,制造业,API数据,平台内交付,0.05元/次,上海迪塔班克数据科技有限公司,"化塑新材料全国产能数据，为用户提供不同品类新材料的生产厂家、所在区域、产能大小、项目期数及投产日期等数据，包括历史已投产项目和规划在建项目等，帮助用户掌握所关注的产品、厂家及区域分布等数据，了解规划项目投产进度等。

",6,"

",Manufacturing Data
