url,title,description,category,price,provider,dimension,category_aws,price_mode,coverage,volume,size,update_frequency,platform,currency,data_sample
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1856,企业涉诉数据高精板,企业涉诉数据高精板,互联网/IT/电子/通信,0.5,北京鼎泰智源科技有限公司,3,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1863,企业三要素验证,输入企业全称、法定代表人名称、统一社会信用代码/注册号/组织机构代码，验证是否匹配。,互联网/IT/电子/通信,0.1,深圳国信数据服务有限公司,3,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1829,企业基本信息,通过企业唯一标识获取企业工商基本信息，包括统一社会信用代码、注册资本、法定代表人、经营范围、经营状态等信息。,互联网/IT/电子/通信,0.2,深圳国信数据服务有限公司,1,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1876,综合风险排查服务-精确搜索匹配个人版,贷前风控：客户筛查、多维验证、风险评价、数据建模、智能识别、量化风险、风险防范、风险识别；,信息传输、软件和信息技术服务业,5.0,北京汇法信息技术有限公司,2,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1875,综合风险排查服务-精确搜索匹配企业版,贷前风控：客户筛查、多维验证、风险评价、数据建模、智能识别、量化风险、风险防范、风险识别；,信息传输、软件和信息技术服务业,5.0,北京汇法信息技术有限公司,1,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1819,教育履历核验,用户教育履历核验,教育,2.0,上海数山科技有限公司,9,Other,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1901,手机在网时长-三网,查询请求手机号的在网时长,信息传输、软件和信息技术服务业,0.13,北京宝华恩利科技有限公司,1,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1802,三网运营商三要素核验,通过姓名、身份证号、手机号进行一致性核验,信息传输、软件和信息技术服务业,0.35,中互数研（北京）科技有限公司,4,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1660,专利信息,https://datacenter.aminer.cn/gateway/open_platform/api/v3/patent/detail/open,信息传输、软件和信息技术服务业,0.01,北京智谱华章科技有限公司,35,Telecommunications Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
https://webs.bjidex.com/sys-bsc-home/#/bscConsole/tradingMarket/detail?id=1662,化塑新材料全国产能数据,化塑新材料全国产能数据，是化塑新材料从业者的“行业时间轴”。,制造业,0.05,上海迪塔班克数据科技有限公司,6,Manufacturing Data,usage-based,CN,0,0,no-update,Beijing International Data Exchange,RMB,
